Date : 2022-07-15 13:43:52
Directory : /home/witut/Desktop/xaninOS
Total : 176 files,  9820 codes, 808 comments, 4204 blanks, all 14832 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/witut/Desktop/xaninOS/src/pit/pit.asm                        | x86 and x86_64 Assembly |         11 |          0 |          5 |         16 |
| /home/witut/Desktop/xaninOS/src/pit/pit.c                          | C                       |         37 |         16 |         28 |         81 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/algorithm.h | C++                     |          3 |          0 |          3 |          6 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/assert.h    | C++                     |          5 |          0 |          5 |         10 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/c_libary.h  | C++                     |          0 |         14 |          1 |         15 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/colors.h    | C++                     |         21 |          1 |          9 |         31 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/hal.h       | C++                     |         22 |          0 |          7 |         29 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/stdiox.h    | C                       |         15 |          0 |          5 |         20 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/stdlibx.h   | C++                     |         37 |          0 |          8 |         45 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/string.h    | C++                     |         22 |          0 |          3 |         25 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/time.h      | C++                     |          5 |          0 |          3 |          8 |
| /home/witut/Desktop/xaninOS/src/syscall/syscall.asm                | x86 and x86_64 Assembly |         78 |          8 |         37 |        123 |
| /home/witut/Desktop/xaninOS/src/syscall/syscall.c                  | C                       |         89 |         27 |         35 |        151 |
| /home/witut/Desktop/xaninOS/src/syscall/syscall_test.asm           | x86 and x86_64 Assembly |          5 |          0 |          6 |         11 |
| /home/witut/Desktop/xaninOS/src/terminal/interpreter.c             | C                       |        141 |          0 |         52 |        193 |
| /home/witut/Desktop/xaninOS/src/terminal/interpreter.h             | C++                     |        109 |         12 |         45 |        166 |
| /home/witut/Desktop/xaninOS/src/terminal/vty.c                     | C++                     |         83 |          3 |         43 |        129 |
| /home/witut/Desktop/xaninOS/src/terminal/vty.h                     | C++                     |         78 |          0 |         38 |        116 |
| /home/witut/Desktop/xaninOS/src/test.c                             | C                       |          6 |          0 |          5 |         11 |
| /home/witut/Desktop/xaninOS/src/test/cpp_test.cpp                  | C++                     |         88 |         15 |         55 |        158 |
| /home/witut/Desktop/xaninOS/src/test/cpp_test2.cpp                 | C++                     |         12 |          0 |          7 |         19 |
| /home/witut/Desktop/xaninOS/src/test/testc.c                       | C                       |          6 |          0 |          5 |         11 |
| /home/witut/Desktop/xaninOS/src/xagames/xagame_test.cpp            | C++                     |         16 |          0 |          8 |         24 |
| /home/witut/Desktop/xaninOS/src/xaninApps/calc.c                   | C                       |         48 |          0 |         22 |         70 |
| /home/witut/Desktop/xaninOS/src/xaninApps/cpu_info.c               | C                       |        121 |          0 |         42 |        163 |
| /home/witut/Desktop/xaninOS/src/xaninApps/device_info.c            | C                       |          9 |          5 |         14 |         28 |
| /home/witut/Desktop/xaninOS/src/xaninApps/disk_load.c              | C                       |          9 |          0 |          3 |         12 |
| /home/witut/Desktop/xaninOS/src/xaninApps/disk_write.c             | C                       |         10 |          0 |          4 |         14 |
| /home/witut/Desktop/xaninOS/src/xaninApps/epilepsy.c               | C                       |         19 |          0 |          9 |         28 |
| /home/witut/Desktop/xaninOS/src/xaninApps/execute_addr.c           | C                       |          8 |          0 |          4 |         12 |
| /home/witut/Desktop/xaninOS/src/xaninApps/file_system/xin_info.c   | C                       |         24 |          0 |          7 |         31 |
| /home/witut/Desktop/xaninOS/src/xaninApps/help.c                   | C                       |        128 |          0 |         33 |        161 |
