"filename", "language", "Markdown", "x86 and x86_64 Assembly", "C++", "C", "Shell Script", "Makefile", "comment", "blank", "total"
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/stdlibx.h", "C++", 0, 0, 37, 0, 0, 0, 0, 8, 45
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/string.h", "C++", 0, 0, 22, 0, 0, 0, 0, 3, 25
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/time.h", "C++", 0, 0, 5, 0, 0, 0, 0, 3, 8
"/home/witut/Desktop/xaninOS/src/syscall/syscall.asm", "x86 and x86_64 Assembly", 0, 78, 0, 0, 0, 0, 8, 37, 123
"/home/witut/Desktop/xaninOS/src/syscall/syscall.c", "C", 0, 0, 0, 89, 0, 0, 27, 35, 151
"/home/witut/Desktop/xaninOS/src/syscall/syscall_test.asm", "x86 and x86_64 Assembly", 0, 5, 0, 0, 0, 0, 0, 6, 11
"/home/witut/Desktop/xaninOS/src/terminal/interpreter.c", "C", 0, 0, 0, 141, 0, 0, 0, 52, 193
"/home/witut/Desktop/xaninOS/src/terminal/interpreter.h", "C++", 0, 0, 109, 0, 0, 0, 12, 45, 166
"/home/witut/Desktop/xaninOS/src/terminal/vty.c", "C++", 0, 0, 83, 0, 0, 0, 3, 43, 129
"/home/witut/Desktop/xaninOS/src/terminal/vty.h", "C++", 0, 0, 78, 0, 0, 0, 0, 38, 116
"/home/witut/Desktop/xaninOS/src/test.c", "C", 0, 0, 0, 6, 0, 0, 0, 5, 11
"/home/witut/Desktop/xaninOS/src/test/cpp_test.cpp", "C++", 0, 0, 88, 0, 0, 0, 15, 55, 158
"/home/witut/Desktop/xaninOS/src/test/cpp_test2.cpp", "C++", 0, 0, 12, 0, 0, 0, 0, 7, 19
"/home/witut/Desktop/xaninOS/src/test/testc.c", "C", 0, 0, 0, 6, 0, 0, 0, 5, 11
"/home/witut/Desktop/xaninOS/src/xagames/xagame_test.cpp", "C++", 0, 0, 16, 0, 0, 0, 0, 8, 24
