"filename", "language", "Markdown", "x86 and x86_64 Assembly", "C++", "C", "Makefile", "Shell Script", "comment", "blank", "total"
"/home/witut/Desktop/xaninOS/src/xaninApps/reboot.c", "C", 0, 0, 0, -1, 0, 0, 0, -1, -2
"/home/witut/Desktop/xaninOS/src/xaninApps/register_dump.c", "C", 0, 0, 0, 1, 0, 0, 1, 2, 4
"/home/witut/Desktop/xaninOS/src/xaninApps/run.c", "C", 0, 0, 0, -1, 0, 0, 0, 0, -1
"/home/witut/Desktop/xaninOS/src/xaninApps/run16.c", "C", 0, 0, 0, -1, 0, 0, 0, 0, -1
"/home/witut/Desktop/xaninOS/src/xaninApps/shutdown.asm", "x86 and x86_64 Assembly", 0, -9, 0, 0, 0, 0, 0, -4, -13
"/home/witut/Desktop/xaninOS/src/xaninApps/shutdown.c", "C", 0, 0, 0, 1, 0, 0, 1, 0, 2
"/home/witut/Desktop/xaninOS/src/xaninApps/syscall_test.asm", "x86 and x86_64 Assembly", 0, 2, 0, 0, 0, 0, 0, 0, 2
"/home/witut/Desktop/xaninOS/src/xanin_info/info_block.c", "C", 0, 0, 0, 8, 0, 0, 0, 6, 14
"/home/witut/Desktop/xaninOS/src/xanin_info/info_block.h", "C++", 0, 0, 12, 0, 0, 0, 0, 6, 18
"/home/witut/Desktop/xaninOS/src/xin_fs/cat.c", "C", 0, 0, 0, 35, 0, 0, 1, 24, 60
"/home/witut/Desktop/xaninOS/src/xin_fs/copy.c", "C", 0, 0, 0, 14, 0, 0, 0, 10, 24
"/home/witut/Desktop/xaninOS/src/xin_fs/link.c", "C", 0, 0, 0, 18, 0, 0, 0, 11, 29
"/home/witut/Desktop/xaninOS/src/xin_fs/list_files.c", "C", 0, 0, 0, 25, 0, 0, 0, 11, 36
"/home/witut/Desktop/xaninOS/src/xin_fs/move.c", "C", 0, 0, 0, 21, 0, 0, 0, 11, 32
"/home/witut/Desktop/xaninOS/src/xin_fs/xin.c", "C", 0, 0, 0, 91, 0, 0, -2, 38, 127
"/home/witut/Desktop/xaninOS/src/xin_fs/xin_note.c", "C", 0, 0, 0, -1, 0, 0, 0, 0, -1
"/home/witut/Desktop/xaninOS/src/xin_fs/xin_paint.c", "C", 0, 0, 0, -1, 0, 0, 4, 1, 4
"Total", "-", 95, 3, 859, 400, 60, -46, 59, 665, 2095
