Date : 2022-07-15 13:43:52
Directory : /home/witut/Desktop/xaninOS
Total : 117 files,  1371 codes, 59 comments, 665 blanks, all 2095 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/witut/Desktop/xaninOS/src/libc/parameter.h                   | C++                     |          9 |          0 |          5 |         14 |
| /home/witut/Desktop/xaninOS/src/libc/stdiox.h                      | C                       |        527 |          7 |        263 |        797 |
| /home/witut/Desktop/xaninOS/src/libc/stdlibx.h                     | C++                     |        272 |          9 |        100 |        381 |
| /home/witut/Desktop/xaninOS/src/libc/string.h                      | C++                     |        270 |         18 |        138 |        426 |
| /home/witut/Desktop/xaninOS/src/libc/syslog.h                      | C++                     |         29 |          0 |         22 |         51 |
| /home/witut/Desktop/xaninOS/src/libc/time.h                        | C++                     |         28 |          0 |         16 |         44 |
| /home/witut/Desktop/xaninOS/src/libcpp/algorithm.h                 | C++                     |         29 |          0 |          9 |         38 |
| /home/witut/Desktop/xaninOS/src/libcpp/array.cpp                   | C++                     |        -90 |          0 |        -45 |       -135 |
| /home/witut/Desktop/xaninOS/src/libcpp/array.h                     | C++                     |         91 |          0 |         46 |        137 |
| /home/witut/Desktop/xaninOS/src/libcpp/box.h                       | C++                     |         22 |          0 |         11 |         33 |
| /home/witut/Desktop/xaninOS/src/libcpp/cstdlib.h                   | C++                     |         11 |          0 |          4 |         15 |
| /home/witut/Desktop/xaninOS/src/libcpp/ctime.h                     | C++                     |         -7 |          0 |         -1 |         -8 |
| /home/witut/Desktop/xaninOS/src/libcpp/initializer_list.hpp        | C++                     |          1 |          0 |          0 |          1 |
| /home/witut/Desktop/xaninOS/src/libcpp/istream.h                   | C++                     |        -15 |          0 |          1 |        -14 |
| /home/witut/Desktop/xaninOS/src/libcpp/iterator.h                  | C++                     |         59 |          0 |         24 |         83 |
| /home/witut/Desktop/xaninOS/src/libcpp/ostream.h                   | C++                     |         11 |          0 |          5 |         16 |
| /home/witut/Desktop/xaninOS/src/libcpp/stack.h                     | C++                     |         36 |          0 |         18 |         54 |
| /home/witut/Desktop/xaninOS/src/libcpp/string.h                    | C++                     |         33 |         22 |         17 |         72 |
| /home/witut/Desktop/xaninOS/src/libcpp/time.hpp                    | C++                     |         10 |          0 |          3 |         13 |
| /home/witut/Desktop/xaninOS/src/libcpp/tuple.hpp                   | C++                     |          0 |          0 |          1 |          1 |
| /home/witut/Desktop/xaninOS/src/libcpp/type_traits.h               | C++                     |          9 |          1 |          4 |         14 |
| /home/witut/Desktop/xaninOS/src/libcpp/utility.h                   | C++                     |         20 |          0 |          7 |         27 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/algorithm.h | C++                     |          3 |          0 |          3 |          6 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/assert.h    | C++                     |          5 |          0 |          5 |         10 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/c_libary.h  | C++                     |          0 |         14 |          1 |         15 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/colors.h    | C++                     |         21 |          1 |          9 |         31 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/hal.h       | C++                     |         22 |          0 |          7 |         29 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/stdiox.h    | C                       |         15 |          0 |          5 |         20 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/stdlibx.h   | C++                     |         37 |          0 |          8 |         45 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/string.h    | C++                     |         22 |          0 |          3 |         25 |
| /home/witut/Desktop/xaninOS/src/programming_libaries/c/time.h      | C++                     |          5 |          0 |          3 |          8 |
| /home/witut/Desktop/xaninOS/src/syscall/syscall.asm                | x86 and x86_64 Assembly |         -4 |          4 |          0 |          0 |
| /home/witut/Desktop/xaninOS/src/syscall/syscall.c                  | C                       |         11 |          0 |          2 |         13 |
| /home/witut/Desktop/xaninOS/src/syscall/syscall_test.asm           | x86 and x86_64 Assembly |          5 |          0 |          6 |         11 |
| /home/witut/Desktop/xaninOS/src/terminal/interpreter.c             | C                       |        -49 |          0 |        -11 |        -60 |
| /home/witut/Desktop/xaninOS/src/terminal/interpreter.h             | C++                     |         74 |        -11 |         36 |         99 |
| /home/witut/Desktop/xaninOS/src/terminal/vty.c                     | C++                     |          0 |          0 |          1 |          1 |
| /home/witut/Desktop/xaninOS/src/terminal/vty.h                     | C++                     |          3 |          0 |          2 |          5 |
| /home/witut/Desktop/xaninOS/src/test/cpp_test.cpp                  | C++                     |         33 |          4 |         16 |         53 |
| /home/witut/Desktop/xaninOS/src/test/cpp_test2.cpp                 | C++                     |         12 |          0 |          7 |         19 |
| /home/witut/Desktop/xaninOS/src/test/testc.c                       | C                       |          6 |          0 |          5 |         11 |
| /home/witut/Desktop/xaninOS/src/xaninApps/calc.c                   | C                       |         -1 |          0 |          1 |          0 |
| /home/witut/Desktop/xaninOS/src/xaninApps/disk_load.c              | C                       |          3 |          0 |          1 |          4 |
| /home/witut/Desktop/xaninOS/src/xaninApps/disk_write.c             | C                       |          3 |          0 |          2 |          5 |
| /home/witut/Desktop/xaninOS/src/xaninApps/epilepsy.c               | C                       |         -1 |          0 |          0 |         -1 |
| /home/witut/Desktop/xaninOS/src/xaninApps/execute_addr.c           | C                       |          1 |          0 |          1 |          2 |
| /home/witut/Desktop/xaninOS/src/xaninApps/load.c                   | C                       |         -5 |          1 |          0 |         -4 |
| /home/witut/Desktop/xaninOS/src/xaninApps/nic_info.c               | C                       |         30 |          0 |         17 |         47 |
| /home/witut/Desktop/xaninOS/src/xaninApps/reboot.c                 | C                       |         -1 |          0 |         -1 |         -2 |
| /home/witut/Desktop/xaninOS/src/xaninApps/register_dump.c          | C                       |          1 |          1 |          2 |          4 |
| /home/witut/Desktop/xaninOS/src/xaninApps/run.c                    | C                       |         -1 |          0 |          0 |         -1 |
| /home/witut/Desktop/xaninOS/src/xaninApps/run16.c                  | C                       |         -1 |          0 |          0 |         -1 |
| /home/witut/Desktop/xaninOS/src/xaninApps/shutdown.asm             | x86 and x86_64 Assembly |         -9 |          0 |         -4 |        -13 |
| /home/witut/Desktop/xaninOS/src/xaninApps/shutdown.c               | C                       |          1 |          1 |          0 |          2 |
| /home/witut/Desktop/xaninOS/src/xaninApps/syscall_test.asm         | x86 and x86_64 Assembly |          2 |          0 |          0 |          2 |
| /home/witut/Desktop/xaninOS/src/xanin_info/info_block.c            | C                       |          8 |          0 |          6 |         14 |
| /home/witut/Desktop/xaninOS/src/xanin_info/info_block.h            | C++                     |         12 |          0 |          6 |         18 |
| /home/witut/Desktop/xaninOS/src/xin_fs/cat.c                       | C                       |         35 |          1 |         24 |         60 |
| /home/witut/Desktop/xaninOS/src/xin_fs/copy.c                      | C                       |         14 |          0 |         10 |         24 |
| /home/witut/Desktop/xaninOS/src/xin_fs/link.c                      | C                       |         18 |          0 |         11 |         29 |
| /home/witut/Desktop/xaninOS/src/xin_fs/list_files.c                | C                       |         25 |          0 |         11 |         36 |
| /home/witut/Desktop/xaninOS/src/xin_fs/move.c                      | C                       |         21 |          0 |         11 |         32 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin.c                       | C                       |         91 |         -2 |         38 |        127 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin_note.c                  | C                       |         -1 |          0 |          0 |         -1 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin_paint.c                 | C                       |         -1 |          4 |          1 |          4 |
| Total                                                              |                         |      1,371 |         59 |        665 |      2,095 |
+--------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
