Date : 2022-06-04 09:27:36
Directory : /home/witut/Desktop/xaninOS/src
Total : 144 files,  8449 codes, 749 comments, 3539 blanks, all 12737 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/witut/Desktop/xaninOS/src/terminal/vty.c                    | C++                     |         83 |          3 |         42 |        128 |
| /home/witut/Desktop/xaninOS/src/terminal/vty.h                    | C++                     |         75 |          0 |         36 |        111 |
| /home/witut/Desktop/xaninOS/src/test.c                            | C                       |          6 |          0 |          5 |         11 |
| /home/witut/Desktop/xaninOS/src/test/cpp_test.cpp                 | C++                     |         55 |         11 |         39 |        105 |
| /home/witut/Desktop/xaninOS/src/xagames/xagame_test.cpp           | C++                     |         16 |          0 |          8 |         24 |
| /home/witut/Desktop/xaninOS/src/xaninApps/calc.c                  | C                       |         49 |          0 |         21 |         70 |
| /home/witut/Desktop/xaninOS/src/xaninApps/cpu_info.c              | C                       |        121 |          0 |         42 |        163 |
| /home/witut/Desktop/xaninOS/src/xaninApps/device_info.c           | C                       |          9 |          5 |         14 |         28 |
| /home/witut/Desktop/xaninOS/src/xaninApps/disk_load.c             | C                       |          6 |          0 |          2 |          8 |
| /home/witut/Desktop/xaninOS/src/xaninApps/disk_write.c            | C                       |          7 |          0 |          2 |          9 |
| /home/witut/Desktop/xaninOS/src/xaninApps/epilepsy.c              | C                       |         20 |          0 |          9 |         29 |
| /home/witut/Desktop/xaninOS/src/xaninApps/execute_addr.c          | C                       |          7 |          0 |          3 |         10 |
| /home/witut/Desktop/xaninOS/src/xaninApps/file_system/xin_info.c  | C                       |         24 |          0 |          7 |         31 |
| /home/witut/Desktop/xaninOS/src/xaninApps/help.c                  | C                       |        128 |          0 |         33 |        161 |
| /home/witut/Desktop/xaninOS/src/xaninApps/hexeditor/hexeditor.c   | C                       |        167 |          1 |         80 |        248 |
| /home/witut/Desktop/xaninOS/src/xaninApps/hexeditor/hexeditor.h   | C++                     |          4 |          0 |          1 |          5 |
| /home/witut/Desktop/xaninOS/src/xaninApps/install.c               | C                       |         11 |          0 |          6 |         17 |
| /home/witut/Desktop/xaninOS/src/xaninApps/keyboard_test.c         | C                       |         18 |          0 |          9 |         27 |
| /home/witut/Desktop/xaninOS/src/xaninApps/load.c                  | C                       |         26 |          0 |         21 |         47 |
| /home/witut/Desktop/xaninOS/src/xaninApps/loadch.c                | C                       |         18 |          0 |         12 |         30 |
| /home/witut/Desktop/xaninOS/src/xaninApps/logo.c                  | C                       |         48 |          0 |         23 |         71 |
| /home/witut/Desktop/xaninOS/src/xaninApps/mouse.c                 | C                       |          5 |         13 |          7 |         25 |
| /home/witut/Desktop/xaninOS/src/xaninApps/pong/pong.c             | C                       |        168 |          0 |         76 |        244 |
| /home/witut/Desktop/xaninOS/src/xaninApps/pong/pong.h             | C++                     |         18 |          0 |          9 |         27 |
| /home/witut/Desktop/xaninOS/src/xaninApps/reboot.asm              | x86 and x86_64 Assembly |         28 |          5 |         17 |         50 |
| /home/witut/Desktop/xaninOS/src/xaninApps/reboot.c                | C                       |         19 |          0 |         16 |         35 |
| /home/witut/Desktop/xaninOS/src/xaninApps/register_dump.c         | C                       |         47 |          0 |         17 |         64 |
| /home/witut/Desktop/xaninOS/src/xaninApps/run.c                   | C                       |         43 |          1 |         22 |         66 |
| /home/witut/Desktop/xaninOS/src/xaninApps/run16.c                 | C                       |         36 |          1 |         19 |         56 |
| /home/witut/Desktop/xaninOS/src/xaninApps/shutdown.asm            | x86 and x86_64 Assembly |         21 |          1 |         13 |         35 |
| /home/witut/Desktop/xaninOS/src/xaninApps/shutdown.c              | C                       |         34 |          1 |         22 |         57 |
| /home/witut/Desktop/xaninOS/src/xaninApps/stack_frame_test.c      | C                       |         18 |          0 |         13 |         31 |
| /home/witut/Desktop/xaninOS/src/xaninApps/syscall_test.asm        | x86 and x86_64 Assembly |         23 |          3 |         17 |         43 |
| /home/witut/Desktop/xaninOS/src/xaninApps/timer_test.c            | C                       |         25 |          0 |         13 |         38 |
| /home/witut/Desktop/xaninOS/src/xaninApps/xanin_apps_space.asm    | x86 and x86_64 Assembly |          1 |          0 |          2 |          3 |
| /home/witut/Desktop/xaninOS/src/xaninApps/zsk.c                   | C                       |         49 |          1 |         21 |         71 |
| /home/witut/Desktop/xaninOS/src/xaninGraphics/xaninGraphics.c     | C                       |         19 |          0 |         10 |         29 |
| /home/witut/Desktop/xaninOS/src/xaninGraphics/xaninGraphics.h     | C++                     |          5 |          0 |          3 |          8 |
| /home/witut/Desktop/xaninOS/src/xin_fs/entries_table.asm          | x86 and x86_64 Assembly |          2 |          1 |          4 |          7 |
| /home/witut/Desktop/xaninOS/src/xin_fs/list_files.c               | C                       |         13 |          0 |          7 |         20 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xanin_fs_saver.c           | C                       |          7 |          0 |          6 |         13 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin.c                      | C                       |        372 |         11 |        158 |        541 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin.h                      | C++                     |         21 |          0 |         12 |         33 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin_entry.h                | C++                     |         38 |          0 |         17 |         55 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin_note.c                 | C                       |        121 |          1 |         68 |        190 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin_paint.c                | C                       |        130 |          0 |         58 |        188 |
| /home/witut/Desktop/xaninOS/src/xin_fs/xin_pointers.asm           | x86 and x86_64 Assembly |          2 |          1 |          6 |          9 |
| Total                                                             |                         |      8,449 |        749 |      3,539 |     12,737 |
+-------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
