"filename", "language", "C", "x86 and x86_64 Assembly", "C++", "Shell Script", "Makefile", "comment", "blank", "total"
"/home/witut/Desktop/xaninOS/src/lib/exit_process.h", "C++", 0, 0, 17, 0, 0, 0, 5, 22
"/home/witut/Desktop/xaninOS/src/lib/hal.h", "C++", 0, 0, 135, 0, 0, 2, 52, 189
"/home/witut/Desktop/xaninOS/src/lib/math.h", "C++", 0, 0, 13, 0, 0, 0, 12, 25
"/home/witut/Desktop/xaninOS/src/lib/memory.h", "C++", 0, 0, 21, 0, 0, 0, 9, 30
"/home/witut/Desktop/xaninOS/src/lib/parameter.h", "C++", 0, 0, 9, 0, 0, 0, 5, 14
"/home/witut/Desktop/xaninOS/src/lib/signal.h", "C++", 0, 0, 21, 0, 0, 1, 14, 36
"/home/witut/Desktop/xaninOS/src/lib/stdiox.h", "C", 524, 0, 0, 0, 0, 7, 265, 796
"/home/witut/Desktop/xaninOS/src/lib/stdlibx.h", "C++", 0, 0, 278, 0, 0, 9, 103, 390
"/home/witut/Desktop/xaninOS/src/lib/string.h", "C++", 0, 0, 257, 0, 0, 30, 134, 421
"/home/witut/Desktop/xaninOS/src/lib/time.h", "C++", 0, 0, 28, 0, 0, 0, 16, 44
"/home/witut/Desktop/xaninOS/src/libcpp/algorithm.h", "C++", 0, 0, 51, 0, 0, 0, 25, 76
"/home/witut/Desktop/xaninOS/src/libcpp/array.cpp", "C++", 0, 0, 90, 0, 0, 0, 45, 135
"/home/witut/Desktop/xaninOS/src/libcpp/chal.h", "C++", 0, 0, 17, 0, 0, 0, 4, 21
"/home/witut/Desktop/xaninOS/src/libcpp/cmath.h", "C++", 0, 0, 6, 0, 0, 0, 2, 8
"/home/witut/Desktop/xaninOS/src/libcpp/cmemory.h", "C++", 0, 0, 9, 0, 0, 0, 4, 13
"/home/witut/Desktop/xaninOS/src/libcpp/cstdio.h", "C++", 0, 0, 12, 0, 0, 0, 8, 20
"/home/witut/Desktop/xaninOS/src/libcpp/cstdlib.h", "C++", 0, 0, 32, 0, 0, 0, 7, 39
"/home/witut/Desktop/xaninOS/src/libcpp/cstring.h", "C++", 0, 0, 24, 0, 0, 0, 6, 30
"/home/witut/Desktop/xaninOS/src/libcpp/ctime.h", "C++", 0, 0, 30, 0, 0, 0, 13, 43
"/home/witut/Desktop/xaninOS/src/libcpp/cxin.h", "C++", 0, 0, 14, 0, 0, 0, 7, 21
"/home/witut/Desktop/xaninOS/src/libcpp/fstream.h", "C++", 0, 0, 39, 0, 0, 0, 22, 61
"/home/witut/Desktop/xaninOS/src/libcpp/hal.h", "C++", 0, 0, 47, 0, 0, 5, 22, 74
"/home/witut/Desktop/xaninOS/src/libcpp/if.h", "C++", 0, 0, 8, 0, 0, 0, 4, 12
"/home/witut/Desktop/xaninOS/src/libcpp/initializer_list.hpp", "C++", 0, 0, 37, 0, 0, 42, 17, 96
"/home/witut/Desktop/xaninOS/src/libcpp/iostream.h", "C++", 0, 0, 3, 0, 0, 0, 2, 5
"/home/witut/Desktop/xaninOS/src/libcpp/istream.h", "C++", 0, 0, 138, 0, 0, 0, 29, 167
"/home/witut/Desktop/xaninOS/src/libcpp/new.hpp", "C++", 0, 0, 16, 0, 0, 11, 6, 33
"/home/witut/Desktop/xaninOS/src/libcpp/ostream.h", "C++", 0, 0, 192, 0, 0, 0, 57, 249
"/home/witut/Desktop/xaninOS/src/libcpp/string.h", "C++", 0, 0, 75, 0, 0, 0, 30, 105
"/home/witut/Desktop/xaninOS/src/libcpp/terminal_color.hpp", "C++", 0, 0, 38, 0, 0, 0, 8, 46
"/home/witut/Desktop/xaninOS/src/libcpp/time.hpp", "C++", 0, 0, 29, 0, 0, 0, 28, 57
"/home/witut/Desktop/xaninOS/src/libcpp/utility.h", "C++", 0, 0, 13, 0, 0, 1, 13, 27
"/home/witut/Desktop/xaninOS/src/pit/pit.asm", "x86 and x86_64 Assembly", 0, 11, 0, 0, 0, 0, 5, 16
"/home/witut/Desktop/xaninOS/src/pit/pit.c", "C", 37, 0, 0, 0, 0, 16, 28, 81
"/home/witut/Desktop/xaninOS/src/syscall/syscall.asm", "x86 and x86_64 Assembly", 0, 82, 0, 0, 0, 4, 37, 123
"/home/witut/Desktop/xaninOS/src/syscall/syscall.c", "C", 78, 0, 0, 0, 0, 27, 33, 138
"/home/witut/Desktop/xaninOS/src/terminal/interpreter.c", "C", 190, 0, 0, 0, 0, 0, 63, 253
"/home/witut/Desktop/xaninOS/src/terminal/interpreter.h", "C++", 0, 0, 35, 0, 0, 23, 9, 67
"/home/witut/Desktop/xaninOS/src/terminal/vty.c", "C++", 0, 0, 83, 0, 0, 3, 42, 128
"/home/witut/Desktop/xaninOS/src/terminal/vty.h", "C++", 0, 0, 75, 0, 0, 0, 36, 111
"/home/witut/Desktop/xaninOS/src/test.c", "C", 6, 0, 0, 0, 0, 0, 5, 11
"/home/witut/Desktop/xaninOS/src/test/cpp_test.cpp", "C++", 0, 0, 55, 0, 0, 11, 39, 105
